Country,Year,Happiness_Rank,Happiness_Score,Economy_(GDP_per_Capita),Family,Health_(Life_Expectancy),Freedom,Trust_(Government_Corruption),Generosity,Dystopia_Residual
Jamaica,2018,56.0,5.89,0.8190000000000001,1.493,0.693,0.575,0.031,0.096,2.1829999999999994
Cyprus,2018,61.0,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.035,0.20199999999999999,1.7730000000000006
Algeria,2018,84.0,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.135,0.055,2.2079999999999993
Kosovo,2018,66.0,5.662000000000001,0.855,1.23,0.578,0.44799999999999995,0.023,0.27399999999999997,2.254000000000001
Turkmenistan,2018,68.0,5.636,1.016,1.5330000000000001,0.517,0.41700000000000004,0.037000000000000005,0.19899999999999998,1.9169999999999998
Mauritius,2018,55.0,5.891,1.09,1.3869999999999998,0.684,0.584,0.05,0.245,1.851
Estonia,2018,63.0,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.174,0.086,1.456999999999999
Indonesia,2018,96.0,5.093,0.899,1.215,0.522,0.5379999999999999,0.018000000000000002,0.484,1.4170000000000003
Vietnam,2018,95.0,5.103,0.715,1.365,0.7020000000000001,0.618,0.079,0.177,1.4469999999999996
Turkey,2018,74.0,5.483,1.148,1.38,0.6859999999999999,0.324,0.109,0.106,1.7300000000000004
Kyrgyzstan,2018,92.0,5.131,0.53,1.416,0.594,0.54,0.035,0.281,1.7349999999999999
Nigeria,2018,91.0,5.155,0.6890000000000001,1.172,0.048,0.462,0.032,0.201,2.551
Bhutan,2018,97.0,5.082,0.7959999999999999,1.335,0.527,0.541,0.171,0.364,1.3480000000000003
Azerbaijan,2018,87.0,5.2010000000000005,1.024,1.161,0.603,0.43,0.17600000000000002,0.031,1.7759999999999998
Pakistan,2018,75.0,5.472,0.652,0.81,0.424,0.33399999999999996,0.113,0.21600000000000003,2.923
Jordan,2018,90.0,5.1610000000000005,0.8220000000000001,1.265,0.645,0.46799999999999997,0.134,0.13,1.697000000000001
Montenegro,2018,81.0,5.347,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.081,0.111,1.871
China,2018,86.0,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.10300000000000001,0.028999999999999998,1.5870000000000002
Zambia,2018,125.0,4.377,0.562,1.047,0.295,0.503,0.08199999999999999,0.221,1.6669999999999998
Romania,2018,52.0,5.945,1.1159999999999999,1.219,0.726,0.528,0.001,0.08800000000000001,2.2670000000000003
Serbia,2018,78.0,5.398,0.975,1.369,0.685,0.28800000000000003,0.043,0.134,1.9039999999999995
Portugal,2018,77.0,5.41,1.188,1.429,0.884,0.562,0.017,0.055,1.2750000000000004
Latvia,2018,53.0,5.933,1.148,1.454,0.6709999999999999,0.363,0.066,0.092,2.1390000000000002
Philippines,2018,71.0,5.524,0.775,1.3119999999999998,0.513,0.643,0.105,0.12,2.0560000000000005
Morocco,2018,85.0,5.254,0.779,0.797,0.669,0.46,0.07400000000000001,0.026000000000000002,2.449
Mozambique,2018,123.0,4.417,0.198,0.902,0.17300000000000001,0.531,0.158,0.20600000000000002,2.2489999999999997
Albania,2018,112.0,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.032,0.149,1.463
Bosnia and Herzegovina,2018,93.0,5.129,0.915,1.078,0.758,0.28,0.0,0.21600000000000003,1.8819999999999988
Lesotho,2018,141.0,3.8080000000000003,0.47200000000000003,1.215,0.079,0.423,0.11199999999999999,0.11599999999999999,1.391
Dominican Republic,2018,83.0,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.106,0.12,1.4610000000000007
Laos,2018,110.0,4.623,0.72,1.034,0.441,0.626,0.174,0.23,1.3980000000000006
Mongolia,2018,94.0,5.125,0.914,1.517,0.575,0.395,0.032,0.253,1.4389999999999996
Greece,2018,79.0,5.358,1.1540000000000001,1.202,0.879,0.131,0.044000000000000004,0.0,1.948
Lebanon,2018,80.0,5.358,0.965,1.179,0.785,0.503,0.136,0.214,1.5759999999999992
Hungary,2018,69.0,5.62,1.171,1.401,0.732,0.259,0.022000000000000002,0.061,1.9740000000000002
Honduras,2018,72.0,5.504,0.62,1.205,0.622,0.45899999999999996,0.07400000000000001,0.19699999999999998,2.3269999999999995
Tajikistan,2018,88.0,5.199,0.474,1.166,0.598,0.292,0.034,0.187,2.4480000000000004
Tunisia,2018,111.0,4.592,0.9,0.9059999999999999,0.69,0.271,0.063,0.04,1.7219999999999995
Palestinian Territories,2018,104.0,4.743,0.642,1.217,0.602,0.266,0.076,0.086,1.8540000000000005
Bangladesh,2018,115.0,4.5,0.532,0.85,0.579,0.58,0.14400000000000002,0.153,1.662
Iran,2018,106.0,4.707,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.129,0.282,1.3159999999999998
Ukraine,2018,138.0,4.103,0.7929999999999999,1.413,0.609,0.163,0.011000000000000001,0.187,0.927
Iraq,2018,117.0,4.456,1.01,0.971,0.536,0.304,0.095,0.14800000000000002,1.3920000000000003
South Africa,2018,105.0,4.724,0.94,1.41,0.33,0.516,0.055999999999999994,0.10300000000000001,1.3690000000000002
Ghana,2018,108.0,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.028999999999999998,0.212,2.092
Zimbabwe,2018,144.0,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.099,0.132,1.3559999999999994
Liberia,2018,149.0,3.495,0.076,0.858,0.267,0.419,0.03,0.20600000000000002,1.639
India,2018,133.0,4.19,0.721,0.747,0.485,0.539,0.09300000000000001,0.172,1.4330000000000003
Haiti,2018,148.0,3.582,0.315,0.7140000000000001,0.289,0.025,0.10400000000000001,0.392,1.7429999999999999
Congo (Kinshasa),2018,132.0,4.245,0.069,1.136,0.204,0.312,0.052000000000000005,0.19699999999999998,2.2750000000000004
Nepal,2018,101.0,4.88,0.425,1.228,0.539,0.526,0.078,0.302,1.782
Ethiopia,2018,127.0,4.35,0.308,0.95,0.391,0.452,0.146,0.22,1.8829999999999996
Sierra Leone,2018,113.0,4.571000000000001,0.256,0.813,0.0,0.355,0.053,0.23800000000000002,2.8560000000000008
Mauritania,2018,126.0,4.356,0.557,1.245,0.292,0.129,0.09300000000000001,0.134,1.9060000000000001
Kenya,2018,124.0,4.41,0.493,1.048,0.45399999999999996,0.504,0.055,0.35200000000000004,1.5040000000000004
Armenia,2018,129.0,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.027999999999999997,0.077,1.4840000000000004
Botswana,2018,146.0,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.092,0.042,0.2909999999999995
Myanmar,2018,130.0,4.308,0.682,1.1740000000000002,0.429,0.58,0.17800000000000002,0.598,0.6669999999999998
Georgia,2018,128.0,4.34,0.853,0.5920000000000001,0.643,0.375,0.215,0.038,1.624
Malawi,2018,147.0,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.08,0.21,1.7329999999999997
Sri Lanka,2018,116.0,4.471,0.9179999999999999,1.314,0.672,0.585,0.05,0.307,0.625
Cameroon,2018,99.0,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.043,0.183,2.687
Bulgaria,2018,100.0,4.933,1.054,1.515,0.7120000000000001,0.359,0.009000000000000001,0.064,1.2199999999999998
Egypt,2018,122.0,4.419,0.885,1.025,0.5529999999999999,0.312,0.107,0.092,1.4449999999999994
Yemen,2018,152.0,3.355,0.442,1.073,0.34299999999999997,0.244,0.064,0.083,1.1059999999999999
Angola,2018,142.0,3.795,0.73,1.125,0.26899999999999996,0.0,0.061,0.079,1.5309999999999997
Mali,2018,118.0,4.447,0.37,1.2329999999999999,0.152,0.36700000000000005,0.055999999999999994,0.139,2.13
Congo (Brazzaville),2018,114.0,4.559,0.682,0.8109999999999999,0.34299999999999997,0.514,0.077,0.091,2.0410000000000004
Uganda,2018,135.0,4.1610000000000005,0.322,1.09,0.237,0.45,0.061,0.259,1.7420000000000004
Senegal,2018,109.0,4.631,0.429,1.117,0.433,0.406,0.08199999999999999,0.138,2.0260000000000002
Gabon,2018,103.0,4.758,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.052000000000000005,0.032,1.714
Niger,2018,134.0,4.166,0.131,0.867,0.221,0.39,0.099,0.175,2.2830000000000004
Cambodia,2018,120.0,4.433,0.5489999999999999,1.088,0.457,0.696,0.065,0.256,1.3219999999999996
Tanzania,2018,153.0,3.303,0.455,0.991,0.381,0.48100000000000004,0.09699999999999999,0.27,0.6280000000000001
Madagascar,2018,143.0,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.049,0.155,1.7769999999999995
Central African Republic,2018,155.0,3.083,0.024,0.0,0.01,0.305,0.038,0.218,2.4880000000000004
Chad,2018,131.0,4.301,0.358,0.907,0.053,0.18899999999999997,0.06,0.18100000000000002,2.553
Guinea,2018,140.0,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.094,0.185,1.944
Ivory Coast,2018,107.0,4.671,0.541,0.872,0.08,0.467,0.10300000000000001,0.146,2.4619999999999997
Burkina Faso,2018,121.0,4.4239999999999995,0.314,1.097,0.254,0.312,0.128,0.175,2.1439999999999992
Afghanistan,2018,145.0,3.6319999999999997,0.332,0.537,0.255,0.085,0.036000000000000004,0.191,2.1959999999999997
Rwanda,2018,151.0,3.408,0.332,0.8959999999999999,0.4,0.636,0.444,0.2,0.49999999999999956
Benin,2018,136.0,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.067,0.163,2.481
Syria,2018,150.0,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.14400000000000002,0.376,1.2439999999999993
Burundi,2018,156.0,2.905,0.091,0.627,0.145,0.065,0.076,0.149,1.7519999999999998
Togo,2018,139.0,3.9989999999999997,0.259,0.474,0.253,0.434,0.10099999999999999,0.158,2.32
Belize,2018,49.0,5.956,0.807,1.101,0.474,0.593,0.08900000000000001,0.183,2.709000000000001
Somalia,2018,98.0,4.982,0.0,0.7120000000000001,0.115,0.674,0.282,0.23800000000000002,2.9610000000000003
