Country,Year,Happiness_Rank,Happiness_Score,Economy_(GDP_per_Capita),Family,Health_(Life_Expectancy),Freedom,Trust_(Government_Corruption),Generosity,Dystopia_Residual
Portugal,2019,66.0,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.034,0.047,1.4619999999999989
Latvia,2019,53.0,5.94,1.187,1.465,0.812,0.264,0.040999999999999995,0.075,2.0729999999999995
Philippines,2019,69.0,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.023,0.11699999999999999,2.092
Morocco,2019,89.0,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.114,0.036000000000000004,2.312999999999999
Mozambique,2019,123.0,4.466,0.204,0.986,0.39,0.494,0.076,0.19699999999999998,2.0570000000000004
Albania,2019,107.0,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.182,0.17800000000000002,1.4619999999999993
Bosnia and Herzegovina,2019,78.0,5.386,0.945,1.212,0.845,0.212,0.027000000000000003,0.263,1.9030000000000005
Lesotho,2019,144.0,3.802,0.489,1.169,0.168,0.359,0.027999999999999997,0.107,1.4170000000000003
Dominican Republic,2019,77.0,5.425,1.015,1.401,0.779,0.49700000000000005,0.1,0.113,1.5190000000000001
Laos,2019,105.0,4.796,0.764,1.03,0.551,0.547,0.073,0.266,1.4739999999999998
Mongolia,2019,83.0,5.285,0.948,1.531,0.667,0.317,0.16699999999999998,0.235,1.5490000000000004
Swaziland,2019,135.0,4.212,0.8109999999999999,1.149,0.0,0.313,0.037000000000000005,0.07400000000000001,1.7299999999999995
Greece,2019,82.0,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.004,0.0,1.850000000000001
Lebanon,2019,91.0,5.197,0.987,1.224,0.815,0.21600000000000003,0.04,0.166,1.762
Hungary,2019,62.0,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.09,0.081,2.0189999999999997
Honduras,2019,59.0,5.86,0.642,1.236,0.828,0.507,0.08900000000000001,0.24600000000000002,2.3230000000000004
Tajikistan,2019,74.0,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.13,0.23,2.395000000000001
Tunisia,2019,124.0,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.08199999999999999,0.059000000000000004,1.4440000000000004
Palestinian Territories,2019,110.0,4.696000000000001,0.657,1.247,0.672,0.225,0.09300000000000001,0.10300000000000001,1.7260000000000004
Bangladesh,2019,125.0,4.456,0.562,0.9279999999999999,0.723,0.527,0.055,0.166,1.407
Iran,2019,117.0,4.548,1.1,0.8420000000000001,0.785,0.305,0.16399999999999998,0.27,1.1209999999999996
Ukraine,2019,133.0,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.055,0.187,1.0080000000000005
Iraq,2019,126.0,4.437,1.043,0.98,0.574,0.24100000000000002,0.027000000000000003,0.14800000000000002,1.3620000000000005
South Africa,2019,106.0,4.7219999999999995,0.96,1.351,0.469,0.389,0.047,0.13,1.3679999999999999
Ghana,2019,98.0,4.996,0.611,0.868,0.486,0.381,0.062,0.245,2.365
Zimbabwe,2019,146.0,3.6630000000000003,0.366,1.114,0.433,0.361,0.066,0.151,1.1490000000000005
Liberia,2019,141.0,3.975,0.073,0.922,0.44299999999999995,0.37,0.07200000000000001,0.233,1.9010000000000002
India,2019,140.0,4.015,0.755,0.765,0.588,0.498,0.27,0.2,1.1239999999999997
Haiti,2019,147.0,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.055999999999999994,0.419,1.5819999999999999
Congo (Kinshasa),2019,127.0,4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.102,0.212,2.3080000000000003
Nepal,2019,100.0,4.913,0.446,1.226,0.677,0.439,0.113,0.285,1.751
Ethiopia,2019,134.0,4.2860000000000005,0.336,1.033,0.532,0.344,0.064,0.209,1.7320000000000002
Sierra Leone,2019,129.0,4.374,0.268,0.841,0.242,0.309,0.125,0.252,2.417
Mauritania,2019,122.0,4.49,0.57,1.167,0.489,0.066,0.086,0.106,2.0040000000000004
Kenya,2019,121.0,4.5089999999999995,0.512,0.983,0.581,0.431,0.16399999999999998,0.37200000000000005,1.5769999999999995
Armenia,2019,116.0,4.559,0.85,1.055,0.815,0.28300000000000003,0.053,0.095,1.3970000000000002
Botswana,2019,148.0,3.488,1.041,1.145,0.5379999999999999,0.455,0.08800000000000001,0.025,0.18400000000000016
Myanmar,2019,131.0,4.36,0.71,1.181,0.555,0.525,0.138,0.5660000000000001,0.6510000000000002
Georgia,2019,119.0,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.055,0.043,1.662
Malawi,2019,150.0,3.41,0.191,0.56,0.495,0.44299999999999995,0.14300000000000002,0.218,1.4140000000000001
Sri Lanka,2019,130.0,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.08900000000000001,0.244,0.5600000000000009
Cameroon,2019,96.0,5.044,0.5489999999999999,0.91,0.331,0.381,0.053,0.187,2.6489999999999996
Bulgaria,2019,97.0,5.011,1.092,1.5130000000000001,0.815,0.311,0.052000000000000005,0.081,1.1949999999999998
Egypt,2019,137.0,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.045,0.076,1.186
Yemen,2019,151.0,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.047,0.10800000000000001,1.1389999999999998
Mali,2019,128.0,4.39,0.385,1.105,0.308,0.327,0.078,0.153,2.0599999999999996
Congo (Brazzaville),2019,103.0,4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.01,0.105,2.2620000000000005
Comoros,2019,142.0,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.1,0.275,1.9420000000000006
Uganda,2019,136.0,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.135,0.252,1.677
Senegal,2019,111.0,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.06,0.153,2.009
Gabon,2019,104.0,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.067,0.043,1.5949999999999989
Niger,2019,114.0,4.628,0.138,0.774,0.366,0.318,0.087,0.188,2.742
Cambodia,2019,109.0,4.7,0.574,1.122,0.637,0.609,0.085,0.23199999999999998,1.464
Tanzania,2019,153.0,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.085,0.276,0.5310000000000006
Madagascar,2019,143.0,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.033,0.16899999999999998,1.83
Central African Republic,2019,155.0,3.083,0.026000000000000002,0.0,0.105,0.225,0.078,0.235,2.4570000000000003
Chad,2019,132.0,4.35,0.35,0.7659999999999999,0.192,0.174,0.040999999999999995,0.198,2.5919999999999996
Guinea,2019,118.0,4.534,0.38,0.8290000000000001,0.375,0.332,0.09300000000000001,0.207,2.3249999999999997
Ivory Coast,2019,99.0,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.18,0.154,2.7390000000000003
Burkina Faso,2019,115.0,4.587,0.331,1.056,0.38,0.255,0.08900000000000001,0.177,2.275
Afghanistan,2019,154.0,3.2030000000000003,0.35,0.517,0.361,0.0,0.11,0.158,1.7920000000000005
Rwanda,2019,152.0,3.3339999999999996,0.359,0.711,0.614,0.555,0.1,0.217,0.46699999999999964
Benin,2019,102.0,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.141,0.175,3.05
Syria,2019,149.0,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.08900000000000001,0.331,1.54
Burundi,2019,145.0,3.775,0.046,0.447,0.38,0.22,0.077,0.17600000000000002,2.326
Togo,2019,139.0,4.085,0.275,0.5720000000000001,0.41,0.293,0.41100000000000003,0.177,2.2729999999999997
Somalia,2019,112.0,4.668,0.0,0.698,0.268,0.5589999999999999,0.035,0.243,2.6300000000000003
